	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	1	-2.464071372	0.054337786	3.4	3.1	NA	3.4	linear	10	yes	bryozoa	M_nsp10
2	5	-2.633970138	0.010867557	3.85	NA	NA	3.85	NA	NA	NA	NA	NA
3	2	-2.502704479	0.027168893	5	NA	NA	5	NA	NA	NA	NA	NA
4	3	-2.340938608	0.018112595	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
5	1	-2.368285906	0.054337786	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
6	1	-2.659260037	0.054337786	5.65	NA	NA	5.65	NA	NA	NA	NA	NA
7	1	-1.97199368	0.054337786	5.75	NA	NA	5.75	NA	NA	NA	NA	NA
8	7	-2.558711747	0.007762541	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
9	2	-2.33705602	0.027168893	5.95	NA	NA	5.95	NA	NA	NA	NA	NA
10	4	-2.341939828	0.013584446	6.25	NA	NA	6.25	NA	NA	NA	NA	NA
11	7	-2.38897249	0.007762541	6.35	NA	NA	6.35	NA	NA	NA	NA	NA
12	3	-2.527305404	0.018112595	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
13	2	-2.316357585	0.027168893	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
14	5	-2.268090545	0.010867557	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
