	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	1	-0.119263359	0.002590908	5.25	2.15	NA	5.25	linear	10	yes	bryozoa	M_nsp06
2	1	-0.053412557	0.002590908	5.35	NA	NA	5.35	NA	NA	NA	NA	NA
3	1	-0.094114078	0.002590908	5.5	NA	NA	5.5	NA	NA	NA	NA	NA
4	3	-0.122083303	0.000863636	5.6	NA	NA	5.6	NA	NA	NA	NA	NA
5	1	-0.192280074	0.002590908	5.65	NA	NA	5.65	NA	NA	NA	NA	NA
6	4	-0.149484479	0.000647727	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
7	16	-0.142462338	0.000161932	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
8	3	-0.158946825	0.000863636	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
9	3	-0.15568753	0.000863636	7.2	NA	NA	7.2	NA	NA	NA	NA	NA
10	2	-0.07715868	0.001295454	7.4	NA	NA	7.4	NA	NA	NA	NA	NA
