	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	1	0.682636401	0.007587138	3.4	3.1	NA	3.4	linear	10	yes	bryozoa	M_nsp10
2	5	0.73115113	0.001517428	3.85	NA	NA	3.85	NA	NA	NA	NA	NA
3	2	0.643328734	0.003793569	5	NA	NA	5	NA	NA	NA	NA	NA
4	3	0.632741321	0.002529046	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
5	1	0.699247843	0.007587138	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
6	1	0.792539002	0.007587138	5.65	NA	NA	5.65	NA	NA	NA	NA	NA
7	1	0.774683208	0.007587138	5.75	NA	NA	5.75	NA	NA	NA	NA	NA
8	7	0.774768677	0.001083877	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
9	2	0.763843709	0.003793569	5.95	NA	NA	5.95	NA	NA	NA	NA	NA
10	4	0.628738556	0.001896784	6.25	NA	NA	6.25	NA	NA	NA	NA	NA
11	7	0.608263869	0.001083877	6.35	NA	NA	6.35	NA	NA	NA	NA	NA
12	3	0.646258247	0.002529046	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
13	2	0.731048849	0.003793569	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
14	5	0.708504906	0.001517428	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
