	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	1	-2.324762686	0.03215787	3.4	3.1	NA	3.4	linear	10	yes	bryozoa	M_nsp10
2	5	-2.290847793	0.006431574	3.85	NA	NA	3.85	NA	NA	NA	NA	NA
3	2	-2.312375651	0.016078935	5	NA	NA	5	NA	NA	NA	NA	NA
4	3	-2.179373139	0.01071929	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
5	1	-2.191532398	0.03215787	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
6	1	-2.414156869	0.03215787	5.65	NA	NA	5.65	NA	NA	NA	NA	NA
7	1	-1.719574821	0.03215787	5.75	NA	NA	5.75	NA	NA	NA	NA	NA
8	7	-2.291048128	0.004593981	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
9	2	-2.237764444	0.016078935	5.95	NA	NA	5.95	NA	NA	NA	NA	NA
10	4	-2.151606921	0.008039468	6.25	NA	NA	6.25	NA	NA	NA	NA	NA
11	7	-2.250964017	0.004593981	6.35	NA	NA	6.35	NA	NA	NA	NA	NA
12	3	-2.39469939	0.01071929	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
13	2	-2.183092143	0.016078935	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
14	5	-2.117705421	0.006431574	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
