	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	1	0.760833155	0.005593087	5.25	2.15	NA	5.25	linear	10	yes	bryozoa	M_nsp06
2	1	0.93374915	0.005593087	5.35	NA	NA	5.35	NA	NA	NA	NA	NA
3	1	0.889077961	0.005593087	5.5	NA	NA	5.5	NA	NA	NA	NA	NA
4	3	0.821361125	0.001864362	5.6	NA	NA	5.6	NA	NA	NA	NA	NA
5	1	0.703122018	0.005593087	5.65	NA	NA	5.65	NA	NA	NA	NA	NA
6	4	0.798449969	0.001398272	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
7	16	0.779652176	0.000349568	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
8	3	0.635365291	0.001864362	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
9	3	0.813513411	0.001864362	7.2	NA	NA	7.2	NA	NA	NA	NA	NA
10	2	0.775988687	0.002796543	7.4	NA	NA	7.4	NA	NA	NA	NA	NA
