	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	1	-2.936364272	0.015924735	5.25	2.15	NA	5.25	linear	10	yes	bryozoa	M_nsp06
2	1	-2.90668027	0.015924735	5.35	NA	NA	5.35	NA	NA	NA	NA	NA
3	1	-2.851153923	0.015924735	5.5	NA	NA	5.5	NA	NA	NA	NA	NA
4	3	-2.783001512	0.005308245	5.6	NA	NA	5.6	NA	NA	NA	NA	NA
5	1	-2.995732274	0.015924735	5.65	NA	NA	5.65	NA	NA	NA	NA	NA
6	4	-2.708857624	0.003981184	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
7	16	-2.712911567	0.000995296	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
8	3	-2.759756936	0.005308245	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
9	3	-2.614569648	0.005308245	7.2	NA	NA	7.2	NA	NA	NA	NA	NA
10	2	-2.75040347	0.007962367	7.4	NA	NA	7.4	NA	NA	NA	NA	NA
