	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	1	-1.231331999	0.006506869	5.25	2.15	NA	5.25	linear	10	yes	bryozoa	M_nsp06
2	1	-1.21097546	0.006506869	5.35	NA	NA	5.35	NA	NA	NA	NA	NA
3	1	-1.364269137	0.006506869	5.5	NA	NA	5.5	NA	NA	NA	NA	NA
4	3	-1.162336007	0.002168956	5.6	NA	NA	5.6	NA	NA	NA	NA	NA
5	1	-1.203972804	0.006506869	5.65	NA	NA	5.65	NA	NA	NA	NA	NA
6	4	-1.220819942	0.001626717	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
7	16	-1.216820735	0.000406679	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
8	3	-1.065132894	0.002168956	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
9	3	-1.206886755	0.002168956	7.2	NA	NA	7.2	NA	NA	NA	NA	NA
10	2	-1.146771671	0.003253434	7.4	NA	NA	7.4	NA	NA	NA	NA	NA
