	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	1	-2.821880364	0.02565629	3.4	3.1	NA	3.4	linear	10	yes	bryozoa	M_nsp10
2	5	-2.948900145	0.005131258	3.85	NA	NA	3.85	NA	NA	NA	NA	NA
3	2	-2.901180098	0.012828145	5	NA	NA	5	NA	NA	NA	NA	NA
4	3	-3.098986438	0.008552097	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
5	1	-3.363015306	0.02565629	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
6	1	-2.995732274	0.02565629	5.65	NA	NA	5.65	NA	NA	NA	NA	NA
7	1	-3.314782895	0.02565629	5.75	NA	NA	5.75	NA	NA	NA	NA	NA
8	7	-3.208188863	0.003665184	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
9	2	-3.230376175	0.012828145	5.95	NA	NA	5.95	NA	NA	NA	NA	NA
10	4	-3.230376175	0.006414073	6.25	NA	NA	6.25	NA	NA	NA	NA	NA
11	7	-3.023490498	0.003665184	6.35	NA	NA	6.35	NA	NA	NA	NA	NA
12	3	-3.134930559	0.008552097	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
13	2	-3.045803966	0.012828145	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
14	5	-3.190872328	0.005131258	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
