#Turrit-W5-age1_Kelley.1983											
N	mm	vv	tt	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
31	3.684029	0.009141005	0	7.952	NA	0	linear	1	no	mollusk	Turritella_plebia
10	3.508286	0.020074939	0.067	NA	NA	0.067	NA	NA	NA	NA	NA
12	3.580263	0.014923631	0.134	NA	NA	0.134	NA	NA	NA	NA	NA
16	3.663932	0.004293332	2.142	NA	NA	2.142	NA	NA	NA	NA	NA
23	3.73205	0.007547617	2.908	NA	NA	2.908	NA	NA	NA	NA	NA
11	3.756247	0.003933721	2.931	NA	NA	2.931	NA	NA	NA	NA	NA
11	3.782547	0.003576838	2.953	NA	NA	2.953	NA	NA	NA	NA	NA
32	3.720936	0.002816622	2.976	NA	NA	2.976	NA	NA	NA	NA	NA
10	3.685665	0.001571236	2.998	NA	NA	2.998	NA	NA	NA	NA	NA
7	3.629587	0.0054667	3.032	NA	NA	3.032	NA	NA	NA	NA	NA
30	3.739896	0.003575402	5.787	NA	NA	5.787	NA	NA	NA	NA	NA
18	3.670452	0.004965153	6.047	NA	NA	6.047	NA	NA	NA	NA	NA
30	3.697212	0.003344005	6.307	NA	NA	6.307	NA	NA	NA	NA	NA
86	3.70192	0.003424411	7.952	NA	NA	7.952	NA	NA	NA	NA	NA
