	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	1	-0.846544907	0.019366834	3.4	3.1	NA	3.4	linear	10	yes	bryozoa	M_nsp10
2	5	-0.812666416	0.003873367	3.85	NA	NA	3.85	NA	NA	NA	NA	NA
3	2	-0.708893847	0.009683417	5	NA	NA	5	NA	NA	NA	NA	NA
4	3	-0.880910246	0.006455611	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
5	1	-1.171482908	0.019366834	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
6	1	-0.78745786	0.019366834	5.65	NA	NA	5.65	NA	NA	NA	NA	NA
7	1	-1.08669097	0.019366834	5.75	NA	NA	5.75	NA	NA	NA	NA	NA
8	7	-1.025980825	0.002766691	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
9	2	-1.044497048	0.009683417	5.95	NA	NA	5.95	NA	NA	NA	NA	NA
10	4	-1.066487931	0.004841709	6.25	NA	NA	6.25	NA	NA	NA	NA	NA
11	7	-0.857579587	0.002766691	6.35	NA	NA	6.35	NA	NA	NA	NA	NA
12	3	-0.99405858	0.006455611	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
13	2	-0.925512983	0.009683417	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
14	5	-0.984701967	0.003873367	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
