	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	1	-2.120263536	0.003895881	3.85	3.51	NA	3.85	linear	10	yes	bryozoa	M_nsp09
2	3	-2.178271121	0.001298627	5	NA	NA	5	NA	NA	NA	NA	NA
3	1	-2.011764587	0.003895881	5.1	NA	NA	5.1	NA	NA	NA	NA	NA
4	1	-2.137665812	0.003895881	5.15	NA	NA	5.15	NA	NA	NA	NA	NA
5	1	-2.172470362	0.003895881	5.35	NA	NA	5.35	NA	NA	NA	NA	NA
6	3	-2.236460215	0.001298627	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
7	2	-2.155068087	0.001947941	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
8	4	-2.148542234	0.00097397	5.6	NA	NA	5.6	NA	NA	NA	NA	NA
9	4	-2.173300243	0.00097397	5.65	NA	NA	5.65	NA	NA	NA	NA	NA
10	1	-2.174130123	0.003895881	5.75	NA	NA	5.75	NA	NA	NA	NA	NA
11	1	-2.264461021	0.003895881	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
12	3	-2.134765432	0.001298627	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
13	1	-2.163769225	0.003895881	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
14	1	-2.120263536	0.003895881	7.35	NA	NA	7.35	NA	NA	NA	NA	NA
15	2	-2.199403656	0.001947941	7.36	NA	NA	7.36	NA	NA	NA	NA	NA
