	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	1	-0.763570166	0.014360704	5.25	2.15	NA	5.25	linear	10	yes	bryozoa	M_nsp06
2	1	-0.583161053	0.014360704	5.35	NA	NA	5.35	NA	NA	NA	NA	NA
3	1	-0.642226299	0.014360704	5.5	NA	NA	5.5	NA	NA	NA	NA	NA
4	3	-0.63381025	0.004786901	5.6	NA	NA	5.6	NA	NA	NA	NA	NA
5	1	-0.874669057	0.014360704	5.65	NA	NA	5.65	NA	NA	NA	NA	NA
6	4	-0.571325077	0.003590176	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
7	16	-0.570799523	0.000897544	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
8	3	-0.743200414	0.004786901	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
9	3	-0.470942551	0.004786901	7.2	NA	NA	7.2	NA	NA	NA	NA	NA
10	2	-0.519430355	0.007180352	7.4	NA	NA	7.4	NA	NA	NA	NA	NA
