	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	1	-2.172470362	0.002233793	5.25	2.15	NA	5.25	linear	10	yes	bryozoa	M_nsp06
2	1	-2.323657196	0.002233793	5.35	NA	NA	5.35	NA	NA	NA	NA	NA
3	1	-2.208934674	0.002233793	5.5	NA	NA	5.5	NA	NA	NA	NA	NA
4	3	-2.149267329	0.000744598	5.6	NA	NA	5.6	NA	NA	NA	NA	NA
5	1	-2.120263536	0.002233793	5.65	NA	NA	5.65	NA	NA	NA	NA	NA
6	4	-2.137665812	0.000558448	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
7	16	-2.142392416	0.000139612	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
8	3	-2.015070292	0.000744598	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
9	3	-2.14346657	0.000744598	7.2	NA	NA	7.2	NA	NA	NA	NA	NA
10	2	-2.231102458	0.001116897	7.4	NA	NA	7.4	NA	NA	NA	NA	NA
