	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	1	-1.961253503	0.002076447	3.4	3.1	NA	3.4	linear	10	yes	bryozoa	M_nsp10
2	5	-1.769809154	0.000415289	3.85	NA	NA	3.85	NA	NA	NA	NA	NA
3	2	-1.834047384	0.001038223	5	NA	NA	5	NA	NA	NA	NA	NA
4	3	-1.906105989	0.000692149	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
5	1	-1.925608004	0.002076447	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
6	1	-1.802269153	0.002076447	5.65	NA	NA	5.65	NA	NA	NA	NA	NA
7	1	-1.897119985	0.002076447	5.75	NA	NA	5.75	NA	NA	NA	NA	NA
8	7	-1.838701005	0.000296635	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
9	2	-1.833559939	0.001038223	5.95	NA	NA	5.95	NA	NA	NA	NA	NA
10	4	-1.834116732	0.000519112	6.25	NA	NA	6.25	NA	NA	NA	NA	NA
11	7	-1.803247045	0.000296635	6.35	NA	NA	6.35	NA	NA	NA	NA	NA
12	3	-1.85194302	0.000692149	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
13	2	-1.803247628	0.001038223	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
14	5	-1.867210539	0.000415289	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
