	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	1	-2.43398672	0.009693746	3.85	3.51	NA	3.85	linear	10	yes	bryozoa	M_nsp09
2	3	-2.429646535	0.003231249	5	NA	NA	5	NA	NA	NA	NA	NA
3	1	-2.325667263	0.009693746	5.1	NA	NA	5.1	NA	NA	NA	NA	NA
4	1	-2.346739366	0.009693746	5.15	NA	NA	5.15	NA	NA	NA	NA	NA
5	1	-2.155068087	0.009693746	5.35	NA	NA	5.35	NA	NA	NA	NA	NA
6	3	-2.347386495	0.003231249	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
7	2	-2.495458107	0.004846873	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
8	4	-2.425463555	0.002423437	5.6	NA	NA	5.6	NA	NA	NA	NA	NA
9	4	-2.396929747	0.002423437	5.65	NA	NA	5.65	NA	NA	NA	NA	NA
10	1	-2.447785294	0.009693746	5.75	NA	NA	5.75	NA	NA	NA	NA	NA
11	1	-2.418074355	0.009693746	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
12	3	-2.295222288	0.003231249	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
13	1	-2.525728644	0.009693746	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
14	1	-2.123747871	0.009693746	7.35	NA	NA	7.35	NA	NA	NA	NA	NA
15	2	-2.352301036	0.004846873	7.36	NA	NA	7.36	NA	NA	NA	NA	NA
