	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	1	-1.833364244	0.001989081	3.85	3.51	NA	3.85	linear	10	yes	bryozoa	M_nsp09
2	3	-1.898604768	0.000663027	5	NA	NA	5	NA	NA	NA	NA	NA
3	1	-1.771956842	0.001989081	5.1	NA	NA	5.1	NA	NA	NA	NA	NA
4	1	-1.898010855	0.001989081	5.15	NA	NA	5.15	NA	NA	NA	NA	NA
5	1	-1.808331615	0.001989081	5.35	NA	NA	5.35	NA	NA	NA	NA	NA
6	3	-1.917409949	0.000663027	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
7	2	-1.891557003	0.00099454	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
8	4	-1.879594609	0.00049727	5.6	NA	NA	5.6	NA	NA	NA	NA	NA
9	4	-1.919415921	0.00049727	5.65	NA	NA	5.65	NA	NA	NA	NA	NA
10	1	-1.871304576	0.001989081	5.75	NA	NA	5.75	NA	NA	NA	NA	NA
11	1	-1.898010855	0.001989081	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
12	3	-1.825802814	0.000663027	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
13	1	-1.832581464	0.001989081	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
14	1	-1.897119985	0.001989081	7.35	NA	NA	7.35	NA	NA	NA	NA	NA
15	2	-1.910918559	0.00099454	7.36	NA	NA	7.36	NA	NA	NA	NA	NA
