	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	1	0.015480792	0.005196377	3.4	3.1	NA	3.4	linear	10	yes	bryozoa	M_nsp10
2	5	0.366499133	0.001039275	3.85	NA	NA	3.85	NA	NA	NA	NA	NA
3	2	0.358427037	0.002598189	5	NA	NA	5	NA	NA	NA	NA	NA
4	3	0.311476836	0.001732126	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
5	1	0.266017228	0.005196377	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
6	1	0.405014905	0.005196377	5.65	NA	NA	5.65	NA	NA	NA	NA	NA
7	1	0.330983377	0.005196377	5.75	NA	NA	5.75	NA	NA	NA	NA	NA
8	7	0.343261576	0.00074234	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
9	2	0.352044816	0.002598189	5.95	NA	NA	5.95	NA	NA	NA	NA	NA
10	4	0.329656264	0.001299094	6.25	NA	NA	6.25	NA	NA	NA	NA	NA
11	7	0.362779412	0.00074234	6.35	NA	NA	6.35	NA	NA	NA	NA	NA
12	3	0.288579395	0.001732126	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
13	2	0.317192358	0.002598189	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
14	5	0.338712455	0.001039275	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
