	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	1	-0.334978862	0.003667996	3.4	3.1	NA	3.4	linear	10	yes	bryozoa	M_nsp10
2	5	-0.375497154	0.000733599	3.85	NA	NA	3.85	NA	NA	NA	NA	NA
3	2	-0.488233756	0.001833998	5	NA	NA	5	NA	NA	NA	NA	NA
4	3	-0.458530821	0.001222665	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
5	1	-0.398275302	0.003667996	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
6	1	-0.301196409	0.003667996	5.65	NA	NA	5.65	NA	NA	NA	NA	NA
7	1	-0.341291991	0.003667996	5.75	NA	NA	5.75	NA	NA	NA	NA	NA
8	7	-0.39286427	0.000523999	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
9	2	-0.377678845	0.001833998	5.95	NA	NA	5.95	NA	NA	NA	NA	NA
10	4	-0.431585082	0.000916999	6.25	NA	NA	6.25	NA	NA	NA	NA	NA
11	7	-0.448960893	0.000523999	6.35	NA	NA	6.35	NA	NA	NA	NA	NA
12	3	-0.486058677	0.001222665	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
13	2	-0.374227834	0.001833998	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
14	5	-0.410385182	0.000733599	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
