	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	1	0.06673187	0.002430647	5.25	2.15	NA	5.25	linear	10	yes	bryozoa	M_nsp06
2	1	0.203343654	0.002430647	5.35	NA	NA	5.35	NA	NA	NA	NA	NA
3	1	0.120690771	0.002430647	5.5	NA	NA	5.5	NA	NA	NA	NA	NA
4	3	0.02854092	0.000810216	5.6	NA	NA	5.6	NA	NA	NA	NA	NA
5	1	0.317987001	0.002430647	5.65	NA	NA	5.65	NA	NA	NA	NA	NA
6	4	0.130161891	0.000607662	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
7	16	0.173876897	0.000151915	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
8	3	0.151527814	0.000810216	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
9	3	0.282118882	0.000810216	7.2	NA	NA	7.2	NA	NA	NA	NA	NA
10	2	0.110901419	0.001215324	7.4	NA	NA	7.4	NA	NA	NA	NA	NA
