	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	1	-0.141173345	0.045848888	3.4	3.1	NA	3.4	linear	10	yes	bryozoa	M_nsp10
2	5	-0.343028018	0.009169778	3.85	NA	NA	3.85	NA	NA	NA	NA	NA
3	2	-0.19044635	0.022924444	5	NA	NA	5	NA	NA	NA	NA	NA
4	3	-0.161598484	0.015282963	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
5	1	-0.17697799	0.045848888	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
6	1	-0.245103168	0.045848888	5.65	NA	NA	5.65	NA	NA	NA	NA	NA
7	1	-0.252498878	0.045848888	5.75	NA	NA	5.75	NA	NA	NA	NA	NA
8	7	-0.268240716	0.006549841	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
9	2	-0.099078543	0.022924444	5.95	NA	NA	5.95	NA	NA	NA	NA	NA
10	4	-0.190363164	0.011462222	6.25	NA	NA	6.25	NA	NA	NA	NA	NA
11	7	-0.138011965	0.006549841	6.35	NA	NA	6.35	NA	NA	NA	NA	NA
12	3	-0.13255819	0.015282963	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
13	2	-0.132965036	0.022924444	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
14	5	-0.150366374	0.009169778	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
