	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	1	-2.636677616	0.007649592	3.85	3.51	NA	3.85	linear	10	yes	bryozoa	M_nsp09
2	3	-2.550608603	0.002549864	5	NA	NA	5	NA	NA	NA	NA	NA
3	1	-2.457543327	0.007649592	5.1	NA	NA	5.1	NA	NA	NA	NA	NA
4	1	-2.43398672	0.007649592	5.15	NA	NA	5.15	NA	NA	NA	NA	NA
5	1	-2.268130849	0.007649592	5.35	NA	NA	5.35	NA	NA	NA	NA	NA
6	3	-2.475277749	0.002549864	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
7	2	-2.570179985	0.003824796	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
8	4	-2.543994904	0.001912398	5.6	NA	NA	5.6	NA	NA	NA	NA	NA
9	4	-2.581114446	0.001912398	5.65	NA	NA	5.65	NA	NA	NA	NA	NA
10	1	-2.503325605	0.007649592	5.75	NA	NA	5.75	NA	NA	NA	NA	NA
11	1	-2.559708452	0.007649592	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
12	3	-2.434622526	0.002549864	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
13	1	-2.659260037	0.007649592	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
14	1	-2.211424315	0.007649592	7.35	NA	NA	7.35	NA	NA	NA	NA	NA
15	2	-2.523739221	0.003824796	7.36	NA	NA	7.36	NA	NA	NA	NA	NA
